FID,SpawnID,SURV_TYP,SURV_ID,YEAR,DATE,TIME,DATETIME,SPAWN_ID,EST_MILES,MEAS_MILES,ASSOC_SCHL,TIDE_HT,TIDE_CMT,EST_BIOMS,DEP_RANGE,LOC_DESC,LOC_ACCUR,LOC_AC_DES,DISTRICT,SUBDIST,STAT_AR,STAT_AR_DE,H_MGT_AR,INDEX_AR,AIRCRAFT,ALTITUDE,SURVEYOR,SURV_HRS,WEATHER,COMMENTS,DEP_CAT,DEP_CAT_DE,SURV_CON,SURV_CON_D,AR_CON,AR_CON_DES,version,geometry
RN_KameshakSpawn.12,286,Aerial,1994.19,1994,1994-05-26T00:00:00,1215,1.99405E+11,1994.2,0.5,0.673,,-0.5,,0,0-8,Ursus Head,E,Estimated,Kamishak,Ursus Cove Subdistrict,24980,Ursus Cove,Area 8,5; Ursus Cove,Cessna 185,1500,Bucher,1.67,,"Active spawn, can't see fish",1,shallow (<5m),3,Fair,2,Good,0,"LINESTRING (-153.61287079032192 59.55073646026497, -153.61137610229852 59.54980904741389, -153.60871887914584 59.549218862258066, -153.6050651973109 59.548881608938636, -153.60107936258188 59.54896592258615, -153.59742568074694 59.54964042414249, -153.59626314561766 59.55065215106461)"
RN_KameshakSpawn.13,287,Aerial,1994.19,1994,1994-05-26T00:00:00,1215,1.99405E+11,1994.21,0.076,0.167,,-0.5,,0,24-Aug,Ursus Head,E,Estimated,Kamishak,Ursus Cove Subdistrict,24980,Ursus Cove,Area 8,5; Ursus Cove,Cessna 185,1500,Bucher,1.67,,"Active spawn, can't see fish",2,medium (5-8m),3,Fair,2,Good,0,"LINESTRING (-153.62150676556817 59.548881608938636, -153.6195138482036 59.54837572260627, -153.61818523662726 59.547279609398416)"
RN_KameshakSpawn.14,288,Aerial,1994.19,1994,1994-05-26T00:00:00,1215,1.99405E+11,1994.22,0.227,0.452,,-0.5,,0,24-34,Ursus Head,E,Estimated,Kamishak,Ursus Cove Subdistrict,24980,Ursus Cove,Area 8,5; Ursus Cove,Cessna 185,1500,Bucher,1.67,,"Active spawn, can't see fish",2,medium (5-8m),3,Fair,2,Good,0,"LINESTRING (-153.60473304441683 59.544834304805526, -153.60373658573457 59.54399105502649, -153.60340443284048 59.54230449192984, -153.60307227994642 59.54070217851571, -153.60307227994642 59.53918412685456, -153.6039026621816 59.53859375489713)"
RN_KameshakSpawn.15,289,Aerial,1994.07,1994,1992-04-29T00:00:00,950,1.99204E+11,1994.23,0.038,0.425,,4.9,,0,6-Jan,Mid Douglas River Reef,E,Estimated,Kamishak,Kamishak River Subdistrict,24945,Kamishak River,Area 5,9; Kamishak,Cessna 185,1500,Bucher,2.25,,Spawn just starting at 9:50,1,shallow (<5m),2,Good,2,Good,0,"LINESTRING (-153.95046248096074 59.11974845192961, -153.94781880555252 59.119068813526326, -153.94517513014418 59.1187775357835, -153.9429091226513 59.118583349241156, -153.9415872849471 59.118971721221456, -153.9398877793275 59.11955427090914, -153.93951011141198 59.11965136155743)"
RN_KameshakSpawn.16,290,Aerial,1994.09,1994,1994-04-29T00:00:00,1840,1.99404E+11,1994.24,0.076,0.61,,15.2,,0,0-5,Mid Douglas River Reef,E,Estimated,Kamishak,Kamishak River Subdistrict,24945,Kamishak River,Area 5,9; Kamishak,Cessna 185,1500,Bucher,1.25,,Spawn occurring at time of survey,1,shallow (<5m),3,Fair,3,Fair,0,"LINESTRING (-153.97043949620297 59.124546713660706, -153.97265054458117 59.1241204614561, -153.97320330667574 59.12369420392905, -153.9740324498176 59.122131214125886, -153.9740324498176 59.12142074055922, -153.9740300360093 59.12022624294159, -153.97292692562849 59.11914712578726, -153.97182140143937 59.11857869843692, -153.97071587725026 59.118010261623425, -153.97016311515569 59.117868150941426, -153.96933397201386 59.117868150941426)"
RN_KameshakSpawn.17,291,Aerial,1994.09,1994,1994-04-29T00:00:00,1840,1.99404E+11,1994.25,0.341,1.529,,15.2,,0,0-1,Mid Douglas River Reef,E,Estimated,Kamishak,Kamishak River Subdistrict,24945,Kamishak River,Area 5,9; Kamishak,Cessna 185,1500,Bucher,1.25,,"Active spawn, same location as morning spawn",1,shallow (<5m),3,Fair,3,Fair,0,"LINESTRING (-153.94584158299534 59.121847026473446, -153.94473605880623 59.122131214125886, -153.94363053461714 59.12241539941269, -153.94197224833346 59.12255749116898, -153.93976119995526 59.12241539941269, -153.93865567576614 59.12227330706497, -153.93699738948249 59.12227330706497, -153.93478634110426 59.12269958233387, -153.93202253063149 59.12312585228016, -153.92981148225329 59.123410029287385, -153.92538938549686 59.12369420392905, -153.92234919397683 59.12369420392905, -153.91792709722037 59.12298376288946, -153.91378138151123 59.122131214125886, -153.9107411899912 59.12127864407165, -153.90873290150793 59.120470110006124, -153.90825376056569 59.119573440089894, -153.90742461742386 59.11872080616167)"
RN_KameshakSpawn.118,25,Aerial,1981.06,1981,1981-05-26T00:00:00,0,1981052600,1981.004,0,0.448,,0,,0,,Ursus Head,G,Generalized,Kamishak,,24935,Northeast Outer,Area 9,4; Cottonwood/Iliamna,,NA,Schroeder,0,Clear and calm,,0,,0,,0,,0,"LINESTRING (-153.5718376304902 59.56598890405016, -153.5746073675543 59.55966389765984)"
RN_KameshakSpawn.18,292,Aerial,1994.09,1994,1994-04-29T00:00:00,1840,1.99404E+11,1994.26,0.038,0.208,,15.2,,0,0-4,Mid Douglas River Reef,E,Estimated,Kamishak,Kamishak River Subdistrict,24945,Kamishak River,Area 5,9; Kamishak,Cessna 185,1500,Bucher,1.25,,"""Spot spawn""",1,shallow (<5m),3,Fair,3,Fair,0,"LINESTRING (-153.87481165384517 59.11403093895216, -153.8761935590816 59.113320296820426, -153.87674632117614 59.112751772467924, -153.87702270222343 59.11204110371824, -153.87646994012886 59.11147255807114)"
RN_KameshakSpawn.19,293,Aerial,1995.05,1995,1995-04-27T00:00:00,1030,1.99504E+11,1995.01,0.167,0.517,,3.4,,0,0,Contact Point,E,Estimated,Kamishak,Bruin Bay Subdistrict,24970,Bruin Bay,Area 6,7; Bruin/Amakdedori,Cessna 185,1500,Bucher,1.58,,Fresh Spawn,1,shallow (<5m),3,Fair,3,Fair,0,"LINESTRING (-153.99189897256542 59.36881721920936, -153.99389448262858 59.36856259055873, -153.99514339839385 59.3676684451077, -153.99569044168533 59.365965268780435, -153.99539111517586 59.36336774747217, -153.99499201316323 59.36239999243931)"
RN_KameshakSpawn.20,294,Aerial,1995.05,1995,1995-04-27T00:00:00,1030,1.99504E+11,1995.02,0.083,0.242,,3.4,,0,0,Contact Point,E,Estimated,Kamishak,Bruin Bay Subdistrict,24970,Bruin Bay,Area 6,7; Bruin/Amakdedori,Cessna 185,1500,Bucher,1.58,,Fresh Spawn,1,shallow (<5m),3,Fair,3,Fair,0,"LINESTRING (-153.98162209574028 59.36769683880203, -153.98002568768976 59.36601619857623, -153.97922748366446 59.36443733923486)"
RN_KameshakSpawn.21,295,Aerial,1995.07,1995,1995-04-28T00:00:00,2150,1.99504E+11,1995.03,3,3.287,,1.7,,0,0-4,Amakdedulia Cove,E,Estimated,Kamishak,Chenik Subdistrict,24955,Chenik River,Area 5,8; Chenik/Nordyke,Robinson,1500,Larry Larrivae,1.75,,Fresh Spawn,1,shallow (<5m),1,Excellent,1,Excellent,0,"LINESTRING (-154.13278407779254 59.194316349111745, -154.13422908231794 59.194728199649866, -154.13744020348543 59.195387150147006, -154.14097243676963 59.19596372136865, -154.14418355793714 59.196787377602014, -154.14659189881277 59.19769337643994, -154.14867912757163 59.19826990859951, -154.15092691238883 59.19835226953941, -154.15317469720608 59.19711683451501, -154.15734915472382 59.19497530758107, -154.16328972888363 59.192998393906215, -154.1687486348684 59.191845141246084, -154.17276253632778 59.191186122186295, -154.1754919893201 59.18945613646161, -154.17597365749523 59.187808449286436, -154.17436809691145 59.18632546265764, -154.17099641968565 59.18525437659282, -154.16698251822626 59.18492480487223, -154.16505584552576 59.185831119429224, -154.16409250917553 59.18731412758616, -154.16264750465015 59.188055607445584, -154.16072083194967 59.187890835538795, -154.16023916377455 59.18698457579934, -154.15847304713245 59.18517198396169, -154.15514792779436 59.18418952099318, -154.15076635633048 59.18393607057359, -154.14723412304625 59.18418325683941)"
RN_KameshakSpawn.22,296,Aerial,1995.08,1995,1995-05-01T00:00:00,1345,1.99505E+11,1995.04,0.5,1.927,,6.5,,0,0-24,Inside Bruin Bay,E,Estimated,Kamishak,Bruin Bay Subdistrict,24970,Bruin Bay,Area 6,7; Bruin/Amakdedori,Cessna 185,1500,Bucher,2.2,,,1,shallow (<5m),1,Excellent,1,Excellent,0,"LINESTRING (-154.03575215771718 59.37845083980049, -154.03372300242623 59.37619173548829, -154.03114044114687 59.37468558205378, -154.02800447387904 59.37336764274191, -154.02431510062277 59.37280279587743, -154.01951891538965 59.37261451149179, -154.0128780435284 59.37346178296835, -154.00845079562086 59.374591445235666, -154.00420801637617 59.376474131785464, -154.00033417445712 59.37826258687532, -153.99738267585207 59.37958033533055, -153.99111074131648 59.38042743220488)"
RN_KameshakSpawn.23,297,Aerial,1995.08,1995,1995-05-01T00:00:00,1415,1.99505E+11,1995.05,0.333,0.689,,8.6,,0,0-3,W end of Douglas River Reef,E,Estimated,Kamishak,Kamishak River Subdistrict,24945,Kamishak River,Area 5,9; Kamishak,Cessna 185,1500,Bucher,2.2,,Old spawn,1,shallow (<5m),1,Excellent,1,Excellent,0,"LINESTRING (-154.02360157494908 59.09423129850068, -154.02635640175208 59.09111272015854, -154.0304886419566 59.08813562993312, -154.0351718475217 59.08657609824146)"
RN_KameshakSpawn.24,298,Aerial,1995.08,1995,1995-05-01T00:00:00,1415,1.99505E+11,1995.06,0.25,0.588,,8.6,,0,0,W end of Douglas River Reef,E,Estimated,Kamishak,Kamishak River Subdistrict,24945,Kamishak River,Area 5,9; Kamishak,Cessna 185,1500,Bucher,2.2,,Old spawn,1,shallow (<5m),1,Excellent,1,Excellent,0,"LINESTRING (-154.01671450794157 59.0749482562925, -154.01671450794157 59.07750104811745, -154.01506161185978 59.07891918346758, -154.01230678505678 59.08019545500408, -154.0076866972418 59.080170918278284)"
RN_KameshakSpawn.25,299,Aerial,1995.08,1995,1995-05-01T00:00:00,1415,1.99505E+11,1995.07,0.25,1.37,,8.6,,0,17-Sep,W end of Douglas River Reef,E,Estimated,Kamishak,Kamishak River Subdistrict,24945,Kamishak River,Area 5,9; Kamishak,Cessna 185,1500,Bucher,2.2,,,1,shallow (<5m),1,Excellent,1,Excellent,0,"LINESTRING (-153.97667265448416 59.12364506293709, -153.9754016393067 59.121312018682254, -153.97457051707866 59.11968821176114, -153.9739206733464 59.1184185243246, -153.96977396865748 59.11445860834678, -153.9661037490652 59.11176512445959, -153.9612159984985 59.10925137494177, -153.95583947287503 59.10799443080476)"
RN_KameshakSpawn.26,300,Aerial,1995.08,1995,1995-05-01T00:00:00,1415,1.99505E+11,1995.08,0.5,1.556,,8.6,,0,0-13,W end of Douglas River Reef,E,Estimated,Kamishak,Kamishak River Subdistrict,24945,Kamishak River,Area 5,9; Kamishak,Cessna 185,1500,Bucher,2.2,,,1,shallow (<5m),1,Excellent,1,Excellent,0,"LINESTRING (-153.97480571839765 59.127635527338825, -153.97243970738606 59.12816405354626, -153.95437192267013 59.12892530585558, -153.93423078560969 59.128620806969316, -153.93157140902605 59.12803959898832)"
RN_KameshakSpawn.27,301,Aerial,1995.08,1995,1995-05-01T00:00:00,1415,1.99505E+11,1995.09,0.25,0.914,,8.6,,0,0-7,W end of Douglas River Reef,E,Estimated,Kamishak,Kamishak River Subdistrict,24945,Kamishak River,Area 5,9; Kamishak,Cessna 185,1500,Bucher,2.2,,"Surveyor did not note length, .25 estimated to be length",1,shallow (<5m),1,Excellent,1,Excellent,0,"LINESTRING (-153.92632179439036 59.12343887385735, -153.92482541467788 59.12170435342152, -153.92459920508014 59.11972718758675, -153.92505162427562 59.11821515998424, -153.92595646266668 59.1165285886641, -153.92686130105773 59.115132742503505, -153.92867097783977 59.113795003058726, -153.9338445953246 59.11251921323934)"
RN_KameshakSpawn.28,302,Aerial,1995.08,1995,1995-05-01T00:00:00,1420,1.99505E+11,1995.1,0.333,0.902,,8.9,,0,9-Jan,Mid Douglas River Reef,E,Estimated,Kamishak,Kamishak River Subdistrict,24945,Kamishak River,Area 5,9; Kamishak,Cessna 185,1500,Bucher,2.2,,Fresh Spawn,1,shallow (<5m),1,Excellent,1,Excellent,0,"LINESTRING (-153.8530738509839 59.10257610489393, -153.8447804416061 59.10672021652093, -153.84146307785497 59.108792083829485, -153.83506530490632 59.111716859040136)"
RN_KameshakSpawn.29,303,Aerial,1995.08,1995,1995-05-01T00:00:00,1415,1.99505E+11,1995.12,0.333,1.435,,8.6,,0,21-Sep,Mid Douglas River Reef,E,Estimated,Kamishak,Kamishak River Subdistrict,24945,Kamishak River,Area 5,9; Kamishak,Cessna 185,1500,Bucher,2.2,,,1,shallow (<5m),1,Excellent,1,Excellent,0,"LINESTRING (-153.90581355900085 59.11865987357953, -153.90387959168794 59.118064127923894, -153.9020298361649 59.116820344719, -153.90018008064206 59.11477166185288, -153.89889948066445 59.111625230991955, -153.8980457473462 59.10921033163328, -153.8983303251189 59.10628295198101, -153.89989550286924 59.104233636952536, -153.90245670282414 59.10291615523148, -153.90416416946076 59.10189141210105, -153.90715223607475 59.10108623522262)"
RN_KameshakSpawn.30,304,Aerial,1996.05,1996,1996-04-26T00:00:00,1000,1.99604E+11,1996.01,0.5,1.43,,9.6,,0,0-35,Chenik Head,E,Estimated,Kamishak,Chenik Subdistrict,24955,Chenik River,Area 5,8; Chenik/Nordyke,Cessna 185,1500,Bucher,2.17,,"Fresh Spawn, occurring from 8:30-10:30",2,medium (5-8m),3,Fair,2,Good,0,"LINESTRING (-154.10351675800277 59.20805544645037, -154.1116470435119 59.205112196497645, -154.11905995088787 59.2026592937207, -154.12384247177562 59.20106481210095, -154.1267119843083 59.19836628840296, -154.12695111035268 59.195912899373816, -154.12695111035268 59.19517684818269, -154.12982062288532 59.19407274155464)"
RN_KameshakSpawn.31,305,Aerial,1996.07,1996,1996-04-26T00:00:00,1900,1.99604E+11,1996.02,0.572,0.429,,6.4,,0,0-5,Contact Point,E,Estimated,Kamishak,Bruin Bay Subdistrict,24970,Bruin Bay,Area 6,7; Bruin/Amakdedori,Cessna 185,1500,Bucher,1.25,,Fresh Spawn,1,shallow (<5m),2,Good,2,Good,0,"LINESTRING (-153.96153908523422 59.365317683815896, -153.96641725653976 59.36345007052054, -153.9715225770518 59.36178303864546)"
RN_KameshakSpawn.32,306,Aerial,1996.07,1996,1996-04-24T00:00:00,1900,1.99604E+11,1996.03,0.572,0.522,,9.6,,0,0,Contact Point,E,Estimated,Kamishak,Bruin Bay Subdistrict,24970,Bruin Bay,Area 6,7; Bruin/Amakdedori,Cessna 185,1500,Bucher,1.25,,Fresh Spawn,1,shallow (<5m),2,Good,2,Good,0,"LINESTRING (-153.98366507651275 59.36967504704597, -153.98199137042502 59.368542951760446, -153.98020822512285 59.36608551977801, -153.978961125611 59.363539006825995, -153.97774158278463 59.36291644777574)"
RN_KameshakSpawn.66,340,Aerial,1999.08,1999,1999-05-08T00:00:00,1000,1.99905E+11,1999.02,0.2,0.276,,9.5,,0,0,Rocky Cove,E,Estimated,Kamishak,Rocky Cove Subdistrict,24978,Rocky Cove,Area 8,5; Ursus Cove,L19 Bird dog,1500,Otis,2.32,,,1,shallow (<5m),2,Good,2,Good,0,"LINESTRING (-153.70307211163444 59.46728557222323, -153.70259280621445 59.465529264948984, -153.70297625055045 59.464553499108604, -153.70278452838244 59.463333752053494)"
RN_KameshakSpawn.33,307,Aerial,1996.07,1996,1996-04-24T00:00:00,1900,1.99604E+11,1996.04,0.856,0.899,,9.6,,0,0,Inside Bruin Bay,E,Estimated,Kamishak,Bruin Bay Subdistrict,24970,Bruin Bay,Area 6,7; Bruin/Amakdedori,Cessna 185,1500,Bucher,1.25,,Fresh Spawn,1,shallow (<5m),2,Good,2,Good,0,"LINESTRING (-153.9908081130672 59.370742070807836, -153.99376985993126 59.370208563136636, -153.99533784356518 59.36878583485138, -153.9953322071795 59.36709391913435, -153.99411830073882 59.36594019865898, -153.99533784356518 59.364339423049536, -153.99673160679532 59.36300538548462, -153.99899647204433 59.36176023627431, -154.00213243931213 59.36087081591176)"
RN_KameshakSpawn.34,308,Aerial,1996.07,1996,1996-04-24T00:00:00,1530,1.99604E+11,1996.05a,2,1.838,,3.8,,0,0-9,Outer Amakdedulia Cove,E,Estimated,Kamishak,Chenik Subdistrict,24955,Chenik River,Area 5,8; Chenik/Nordyke,Cessna 185,1500,Bucher,1.25,,"Fresh Spawn, 5a, 5b and 5c total 3.0.  Same event",1,shallow (<5m),2,Good,2,Good,0,"LINESTRING (-154.1135295559867 59.216640668196455, -154.11119046128002 59.215991070162, -154.11041076304448 59.21529148917341, -154.11050822532394 59.21429206280115, -154.1098259893678 59.21399222916328, -154.10797420605834 59.21359244686831, -154.10592749819003 59.21329260706369, -154.1051477999545 59.21244304659806, -154.1051477999545 59.211493512734215, -154.1057957122383 59.2109137842926, -154.10717882910834 59.20984990909991, -154.11046373167463 59.20878600063842, -154.11444019267591 59.20781072198908, -154.11841665367723 59.20559407563429, -154.12083710819977 59.20328861023752, -154.1225660042873 59.20009616951313, -154.1237348650557 59.19636854213555)"
RN_KameshakSpawn.35,309,Aerial,1996.06,1996,1996-04-24T00:00:00,1530,1.99604E+11,1996.05b,0.75,0.709,,3.8,,0,0-5,Outer Amakdedulia Cove,E,Estimated,Kamishak,Chenik Subdistrict,24955,Chenik River,Area 5,8; Chenik/Nordyke,Cessna 185,1500,Bucher,1.25,,"Fresh spawn, 5a, 5b and 5c total=3.0.  Same event",1,shallow (<5m),2,Good,2,Good,0,"LINESTRING (-154.12498515265918 59.195406427762066, -154.1258186777282 59.19476500307244, -154.12686058406445 59.19369593506517, -154.12811087166799 59.1933752081163, -154.12956954053877 59.1933752081163, -154.13165335321125 59.193482117435, -154.13311202208203 59.19358902641796, -154.13457069095278 59.19390975135246, -154.13561259728905 59.19423047326539, -154.1376964099615 59.19476500307244, -154.1393634600996 59.195513330702, -154.14103051023756 59.19636854213555)"
RN_KameshakSpawn.36,310,Aerial,1996.06,1996,1996-04-24T00:00:00,1530,1.99604E+11,1996.05c,0.25,0.266,,3.8,,0,0,Outer Amakdedulia Cove,E,Estimated,Kamishak,Chenik Subdistrict,24955,Chenik River,Area 5,8; Chenik/Nordyke,Cessna 185,1500,Bucher,1.25,,"Fresh spawn, 5a, 5b and 5c. total=3.0, same event",1,shallow (<5m),2,Good,2,Good,0,"LINESTRING (-154.1468651857206 59.19765131900054, -154.14603166065166 59.19668924088388, -154.14478137304812 59.195406427762066, -154.1439478479791 59.1941235662968)"
RN_KameshakSpawn.37,311,Aerial,1996.07,1996,1996-04-24T00:00:00,1530,1.99604E+11,1996.06a,1,0.802,,3.8,,0,0-24,N of Chenik Head,E,Estimated,Kamishak,Chenik Subdistrict,24955,Chenik River,Area 5,8; Chenik/Nordyke,Cessna 185,1500,Bucher,1.25,,"Fresh, spawn occurring @ 15:20-15:45, 6a, 6b, 6c total 1.5",1,shallow (<5m),2,Good,2,Good,0,"LINESTRING (-154.13395095221264 59.22288962580796, -154.13574166524003 59.22207727986274, -154.13450619289185 59.21968948529973, -154.1334034566373 59.2190952691005, -154.12966528384686 59.21986674885772, -154.128109277368 59.22066442343476, -154.12631667767462 59.221500889967096, -154.12535900484178 59.221746351916245, -154.124401332009 59.22159907495935, -154.1224540639157 59.22038810690846)"
RN_KameshakSpawn.38,312,Aerial,1996.06,1996,1996-04-24T00:00:00,1530,1.99604E+11,1996.06b,0.25,0.29,,3.8,,0,0,N of Chenik Head,E,Estimated,Kamishak,Chenik Subdistrict,24955,Chenik River,Area 5,8; Chenik/Nordyke,Cessna 185,1500,Bucher,1.25,,"Fresh spawn, 6a, 6b and 6c. total=1.5, same event",1,shallow (<5m),2,Good,2,Good,0,"LINESTRING (-154.1431143229101 59.21678033587063, -154.14332270417736 59.217314511565505, -154.14332270417736 59.217955511325336, -154.14228079784112 59.218703329109935, -154.14040536643583 59.21902381741267, -154.13832155376332 59.21902381741267)"
RN_KameshakSpawn.39,313,Aerial,1996.06,1996,1996-04-24T00:00:00,1530,1.99604E+11,1996.06c,0.25,0.219,,3.8,,0,0,N of Chenik Head,E,Estimated,Kamishak,Chenik Subdistrict,24955,Chenik River,Area 5,8; Chenik/Nordyke,Cessna 185,1500,Bucher,1.25,,"Fresh spawn, 6a, 6b and 6c total 1.5.  Same event",1,shallow (<5m),2,Good,2,Good,0,"LINESTRING (-154.13748802869432 59.214429863144744, -154.13623774109078 59.21410933155201, -154.13519583475454 59.21410933155201, -154.1333204033493 59.21410933155201, -154.1320701157458 59.214429863144744, -154.13186173447852 59.21464354919524)"
